State,WinProbD,VoteShareD,WinProbR,VoteShareR,WinProbL,VoteShareL
OR,99.5,58.4,0.5,41.6,0,0
NH,83.0,52.4,17.0,47.6,0,0
OH,35.0,49.3,65.0,50.7,0,0
SC,0.5,44.4,99.5,55.6,0,0
MI,86.0,52.7,14.0,47.3,0,0
OK,0.5,36.3,99.5,63.7,0,0
LA,0.5,41.7,99.5,58.3,0,0
GA,19.0,48.5,81.0,51.5,0,0
AR,0.5,43.3,99.5,56.7,0,0
MA,99.5,62.9,0.5,37.1,0,0
VT,99.5,64.7,0.5,35.3,0,0
CA,99.5,62.8,0.5,37.2,0,0
NM,95.0,54.4,5.0,45.6,0,0
NC,39.0,49.8,61.0,50.2,0,0
MD,99.5,66.7,0.5,33.3,0,0
WY,0.5,26.8,99.5,73.2,0,0
PA,78.0,52.1,22.0,47.9,0,0
MN,94.0,54.3,6.0,45.7,0,0
DE,99.0,56.6,1.0,43.4,0,0
NY,99.5,60.7,0.5,39.3,0,0
IN,0.5,43.4,99.5,56.6,0,0
RI,92.0,52.9,8.0,47.1,0,0
VA,85.0,52.5,15.0,47.5,0,0
WA,99.0,57.0,1.0,43.0,0,0
FL,40.0,49.6,60.0,50.4,0,0
CO,80.0,52.5,20.0,47.5,0,0
MT,0.5,41.0,99.5,59.0,0,0
CT,99.5,56.6,0.5,43.4,0,0
AL,0.5,37.4,99.5,62.6,0,0
NV,47.0,49.8,53.0,50.2,0,0
MS,2.0,45.3,98.0,54.7,0,0
NJ,99.0,55.3,1.0,44.7,0,0
IA,17.0,48.2,83.0,51.8,0,0
ND,0.5,33.6,99.5,66.4,0,0
ID,0.5,35.3,99.5,64.7,0,0
TN,0.5,38.9,99.5,61.1,0,0
WV,0.5,34.5,99.5,65.5,0,0
UT,0.5,39.6,99.5,60.4,0,0
ME,95.0,53.2,5.0,46.8,0,0
KY,0.5,37.3,99.5,62.7,0,0
AK,0.5,43.5,99.5,56.5,0,0
NE,0.5,42.8,99.5,57.2,0,0
HI,99.5,66.4,0.5,33.599999999999994,0,0
TX,1.0,45.3,99.0,54.7,0,0
DC,99.5,-1,0.5,-1,0,-1
IL,99.5,60.0,0.5,40.0,0,0
AZ,15.0,48.0,85.0,52.0,0,0
MO,1.0,45.1,99.0,54.9,0,0
SD,0.5,41.4,99.5,58.6,0,0
WI,83.0,52.5,17.0,47.5,0,0
KS,0.5,43.3,99.5,56.7,0,0
